ACCE_ABSORB_COST	Custos da combinação: %d
GUILDWINDOW_INFO_LEVEL30	-10% renda
GUILDWINDOW_INFO_LEVEL35	-15% renda
GUILDWINDOW_INFO_LEVEL40	-20% renda
GUILDWINDOW_INFO_LEVEL_TEXT	Guild nível %d
GUILDWINDOW_LAND_BUY	Comprar território
GUILDWINDOW_LAND_TAX	Renda
GUILDWINDOW_LIST_ALL	Todos os Reinos
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] Já enviaste uma aplicação.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista de Aplicações
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_LV	Nível
GUILDWINDOW_LIST_CHRACTER_NAME	Nome de Personagem
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclasse
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membro
GUILDWINDOW_LIST_GUILD_LIST	Lista de Guilds
GUILDWINDOW_LIST_GUILD_LV	Nível
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Por favor introduz um nome de guild.
GUILDWINDOW_LIST_LADDER	Pontos de Posição
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guild] Esta guild não está a publicitar.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aplicação
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista de Guilds
GUILDWINDOW_LIST_RANKING	Posição
GUILDWINDOW_LIST_RANKING_COUNT	Posição
GUILDWINDOW_LIST_REGISTER	Aplicações
GUILDWINDOW_LIST_REGISTER_GUILD	Enviar aplicação à guild
GUILDWINDOW_LIST_SEARCH	Procurar
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Por favor selecciona uma guild à qual enviar a aplicação.
GUILDWINDOW_PROMOTE_REFRESH	Anunciar
GUILDWINDOW_PROMOTE_REGISTER	Anunciar
GUILDWINDOW_REFUND_REDUCED_TAX	Reembolso dos custos de uso
GUILDWINDOW_SP_RECOVER	Poder do Deus Dragão
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Melhorar Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Melhorar Banco
GUILD_ATTENDANCE_FAIL_ALREADY	Já participaste hoje.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Não podes participar agora. A participação é reinicializada todos os dias às 5:00.
GUILD_BANKINFO_CLOSE	Fechar
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TYPE	Item/Moeda
GUILD_BANKINFO_USETYPE	Acção
GUILD_BANK_CLOSE	Fechar
GUILD_BANK_INFO	Registo do Armazém da Guild
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Registaste-te na Batalha de Guilds com sucesso.
GUILD_BATTLE_AREA_INFO_TEXT	Tempo restante: %s\nMonstros restantes (%d/61)\nAzul: (%s) Amarela: (%s) Verde: (%s) Vermelha: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Há monstros sob ataque em %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Não podes participar na Batalha de Guilds neste momento porque todos os espaços estão preenchidos. Tenta novamente para a próxima.
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Ainda não podes participar. Tempo restante: %d minutos.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Só podes entrar se estiveres na primeira vila ou na Planície de Dong Gwang.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Não foi possível encontrar um adversário adequado para a tua Guild. Tenta novamente para a próxima.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Não há espaço suficiente no teu inventário.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Não cumpres todos os requisitos para participar na Batalha de Guilds.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Não podes entrar nesta zona porque já foi conquistada por outra Guild.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Só podes usar isso quando a zona tiver sido conquistada pela tua Guild.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Apenas o Líder da Guild pode usar este item.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Não podes usar o Bilhete de Batalha de Guilds.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Esse item já foi usado e não pode ser usado novamente.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Tens de aguardar até pelo menos 2 outras Guilds participarem.
GUILD_BATTLE_DEAD_TO_PLAYER	Um membro da Guild %s matou-te.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	%s deu-te %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	A Batalha de Guilds começa dentro de %d minutos. Registaste-te para participar. Prepara-te e dá o teu melhor!
GUILD_BATTLE_END_MESSAGE	A Batalha de Guilds terminou.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	A Batalha de Guilds termina dentro de %d minutos.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Entraste na %s Derrota todos os monstros!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Entrar
GUILD_BATTLE_ENTER_MESSAGE	Irás concluir o teu registo na Batalha de Guilds em breve.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Entraste na %s
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Pertences à equipa azul. Usa o portal para entrares na zona de Batalha de Guilds.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Pertences à equipa verde. Usa o portal para entrares na zona de Batalha de Guilds.
GUILD_BATTLE_ENTER_OUTPOST_RED	Pertences à equipa vermelha. Usa o portal para entrares na zona de Batalha de Guilds.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Pertences à equipa amarela. Usa o portal para entrares na zona de Batalha de Guilds.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Recebeste uma recompensa de Guild. Irás encontrá-la no teu inventário.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Recebeste uma recompensa de reforço. Consulta o ícone do reforço para saberes mais.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Recolher recompensa de Guild
GUILD_BATTLE_LIST_REMAIN_TIME	Tempo restante: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s matou %d monstros.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Não tens uma Chave da Vitória para abrir este cofre. Derrota monstros para encontrares uma chave.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Arranja algum espaço no teu inventário e tenta novamente.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Não tens um Bilhete de Portal de Guild.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Ainda não podes participar porque a tua Guild foi fundada nas últimas 24 horas.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	A zona foi conquistada. Em breve, irá aparecer um portal e surgirão monstros para defender a zona.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s foi conquistada. Em breve, irá aparecer um portal e surgirão monstros para defender a zona.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Esta zona já foi conquistada por outra Guild. Serás transportado de volta para o Posto Avançado de Guild em breve.
GUILD_BATTLE_ONGOING	Batalha em curso
GUILD_BATTLE_OPEN_REWARD_BOX	Queres abrir %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	As outras Guilds já estão em batalha.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Tempo restante: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Os requisitos estão cumpridos?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	A batalha começa dentro de: %s
GUILD_BATTLE_PERSONAL_BUFF	Recompensa de reforço
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Receber recompensa de reforço
GUILD_BATTLE_PK_GUILD_MESSAGE	%s matou %d jogadores de outras Guilds.
GUILD_BATTLE_PLAYER_KILL	Mataste um membro da Guild %s.
GUILD_BATTLE_QUALIFICATION	Derrota o Rei Dragão ou usa um\nBilhete de Batalha de Guilds para participares.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Tenta novamente.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Serás transportado dentro de %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Ressuscitaste com o Ressuscitar de Guild.
GUILD_BATTLE_START_MESSAGE	A Batalha de Guilds começou! Clica no botão Participar no menu de Batalha de Guilds para te juntares ao desafio.
GUILD_BATTLE_STATUS_BOARD_PK	JM: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Azul
GUILD_BATTLE_TEAM_NAME_GREEN	Verde
GUILD_BATTLE_TEAM_NAME_RED	Vermelha
GUILD_BATTLE_TEAM_NAME_YELLOW	Amarela
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Usaste o Bilhete de Portal de Guild e serás transportado para %s em breve.
GUILD_BATTLE_USE_SCROLL	Queres participar na Batalha de Guilds?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	O teu registo para a Batalha de Guilds foi cancelado.
GUILD_BOARD_ID	Membro
GUILD_BOARD_TEXT	Mensagem
GUILD_BUILDING_CATEGORY_ALTAR	Altar
GUILD_BUILDING_CATEGORY_SMELT	Edifícios de refinação
GUILD_BUILDING_CATEGORY_SPECIAL	Santuários
GUILD_BUILDING_CATEGORY_STORAGE	Armazém da Guild
GUILD_BUILDING_FIX_CHANGE	Queres mesmo mudar a posição?
GUILD_BUILDING_FIX_CHANGE_GOLD	Custo: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Queres mesmo apagar o objecto?
GUILD_BUILDING_FIX_NEED_BUILDING	Nenhum edifício presente.
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Não foi possível investir neste edifício porque o mesmo foi alterado.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	EXP de edifício
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Investir EXP de edifício
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Não tens espaço suficiente no inventário para receberes Bilhetes de Construção Especial.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Já esgotaste todas as possibilidades de investimento.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Faltam-te %s itens.
GUILD_BUILDING_INVEST_QUESTION	Queres investir 1 %s no edifício %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s atingiu o nível %s.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Este edifício já está no nível máximo e não podes melhorá-lo mais.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Usaste um %s para investir em %s (%s EXP).
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	O nível da guild não é suficientemente alto para poderes melhorar mais este edifício. Primeiro deves subir o nível da tua guild.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Paisagem
GUILD_BUILDING_LOG_PLUS	Tronco+
GUILD_BUILDING_NAME	Nome do Edifício
GUILD_BUILDING_PLY_PLUS	Tábuas+
GUILD_BUILDING_SMELT_STONE	Pedra da Runa
GUILD_BUILDING_STONE_PLUS	Pedra Basilar+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Não tens permissão para usar este item.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Edifícios de melhoramento
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Edifícios de refinação
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Santuários
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Fechar
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Nome
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Tipo de edifício
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Montante recebido
GUILD_CANNOT_HEAL_GSP_ANYMORE	A Energia dos Dragões Fantasma já está no máximo.
GUILD_CHANGEMASTER_TEXT1	O novo líder será: %s
GUILD_CHANGEMASTER_TEXT2	Gostarias de nomear um novo líder da Guild?
GUILD_CHANGEMASTER_TEXT3	Tens a certeza de que pretendes transferir para
GUILD_CHANGEMASTER_TEXT4	o cargo de líder da Guild?
GUILD_COMMENT	Escrever
GUILD_CONTENTS_ONGOING	Batalha em curso
GUILD_CREATE_ERROR_INSULT_NAME	O nome da Guild não é válido.
GUILD_DEFAULT_GRADE	Membros da Guild
GUILD_DELETE	Apagar
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	EXP usada
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Valor mínimo: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Não há experiência que possa ser usada.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Pontos de Experiência insuficientes.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Yang insuficiente.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Quantidade necessária
GUILD_DEPOSIT	Depositar
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Não podes abandonar a Guild neste momento porque estás em combate.
GUILD_DISBAND_SUCCESS_MESSAGE	A Guild foi dissolvida.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Não tens Bilhetes de Doação Grande suficientes.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	O teu inventário está cheio. Não podes doar.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Precisas de ter atingido o nível 30 para poderes doar.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Não tens Bilhetes de Doação Média suficientes.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Yang insuficiente.
GUILD_DONATE_FAIL_TIME	Não podes doar durante 24 horas depois de te juntares à guild.
GUILD_DONATE_QUESTION_HIGH	Queres fazer uma Doação Grande?
GUILD_DONATE_QUESTION_MIDDLE	Queres fazer uma Doação Média?
GUILD_DONATE_QUESTION_NORMAL	Queres fazer uma Doação Pequena?
GUILD_DO_YOU_HEAL_GSP	Queres usar %d Yang para restaurares %d unidades de Dragões Fantasma?
GUILD_DO_YOU_JOIN	 fez-te um convite. Queres juntar-te à Guild?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Classificações gerais: Covil de Meley
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Classificações gerais: Cripta de Balathor
GUILD_DRAGONLAIR_PARTY_ALL	Classificações Gerais
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11º Lugar e abaixo: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Ajuda
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1º Lugar: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4º-10º Lugares: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2º e 3º Lugares: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membros
GUILD_DRAGONLAIR_PARTY_NOW	Classificações Semanais
GUILD_DRAGONLAIR_PARTY_PAST	Classificações Anteriores
GUILD_DRAGONLAIR_PARTY_TIME	Tempo
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Recompensa
GUILD_DRAGONLAIR_RANKING_FAIL	FALHA
GUILD_DRAGONLAIR_RANKING_NONE	NOVIDADE
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCESSO
GUILD_DRAGONLAIR_SECOND	seg.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Classificações atuais Covil de Meley
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Classificações atuais: Cripta de Balathor
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Registaste-te na Cripta de Balathor. Fala com o Dolnarr Guarda Dragão para entrar. Depois, tens 10 minutos para iniciar o combate.
GUILD_DRAGON_LAIR_DUNGEON_START	A batalha na Cripta de Balathor começou. O tempo limite na masmorra é 1 hora.
GUILD_EMPTY_AREA	Terreno Vazio
GUILD_ENEMY_GUILD_NAME	Nome da Guild inimiga
GUILD_FACILITY	Anexo
GUILD_GEM	Pedra Preciosa
GUILD_HEADQUARTER	Edifício Principal
GUILD_HEAL_GSP	Restaurar Dragões Fantasma
GUILD_INFO_ENEMY_GUILD_EMPTY	Nenhum
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	O território da guild encontra-se em %s, nas coordenadas %d, %d.
GUILD_LAND_TEXT	Território de Guild
GUILD_MARK_NOT_ENOUGH_LEVEL	A guild necessita de nível 3 para usar icon de guild
GUILD_MARK_UPLOAD_NOTICE	Por favor espera um momento para poderes adicionar logótipos de Guild.
GUILD_MEMBEROUT_AUTH	Não podes remover quaisquer membros.
GUILD_MEMBEROUT_NOMAL	Queres remover este membro?
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Combatente
GUILD_MEMBER_LEVEL	Nível
GUILD_MEMBER_NAME	Membro
GUILD_MEMBER_RANK	Posto
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP Doada
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Disponível a partir do nível 21 da guild.
GUILD_NAME	Nome da Guild
GUILD_NOT_ENOUGH_MATERIAL	Não tens recursos de construção suficientes para este edifício.
GUILD_NOT_ENOUGH_MONEY	Não tens Yang suficiente para este edifício.
GUILD_NO_NOTICE_PERMISSION	Não tens permissões para fazer um anúncio.
GUILD_OBJECT	Objectos
GUILD_OBJECT_POSSIBLE_NEWWORLD	Este edifício só está disponível no continente de Yohara.
GUILD_OFFER_EXP	Experiência a investir
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Recompensas das classificações:\n1.º: título Conquistador/a Flamejante e Dragão de Magma (5 Dias)\n2.º: Dragão de Magma (3 Dias)\n3.º: Dragão de Magma (1 Dia)
GUILD_SELECT_ONE	Escolhe um membro da Guild.
GUILD_SHORT_EXP	Pontos de Experiência insuficientes.
GUILD_SITE_AUCTION_END_TIME	Leilão de Território: %02d/%02d (mês/dia), às %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Leilão de território: N/D
GUILD_SITE_AUCTION_INFO	Território em oferta: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Território em oferta: N/D
GUILD_SITE_AUCTION_MAP_INFO	Data (mês/dia): %02d/%02d; Hora: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Todas as licitações foram enviadas.
GUILD_SITE_AUCTION_STATE_REGIST	Em %s, o território situado em %s,%s vai ser leiloado. Apenas líderes de Guilds se podem registar para o leilão de território.
GUILD_SITE_AUCTION_STATE_RUN	O leilão de território termina a %02d/%02d (mês/dia), às %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	O leilão de território começa a %02d/%02d (mês/dia), às %02d:%02d por %s, território %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Abandono Automático do Território: %s
GUILD_SITE_TAX_INFO	O território de Guild será abandonado a %s. Todos os itens no Armazém da Guild serão eliminados.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Receber reforço
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Não tens Bilhetes de Construção Especial suficientes.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Não tens Yang suficiente.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Queres receber os reforços? Caso os mesmos efeitos sejam aplicados, apenas o valor mais alto terá efeito.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Podes trocar a atual lista de reforços por uma nova pelo custo correspondente.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	A lista de reforços foi substituída.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	A lista de invocações foi substituída.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Não tens Bilhetes de Construção Especial suficientes.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Não tens Yang suficiente.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Queres invocar monstros?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Podes trocar a atual lista de invocações por uma nova pelo custo correspondente.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Invocar
GUILD_TILE_BASEINFO	Informações do Território
GUILD_TILE_BOARD	Mensagens de Guild
GUILD_TILE_GRADE	Administração de Permissões
GUILD_TILE_GUILD_BATTLE	Batalha de Guilds
GUILD_TILE_GUILD_CONTENTS_LIST	Batalha de Guilds
GUILD_TILE_INFO	Informação da Guild
GUILD_TILE_MEMBER	Membro
GUILD_TILE_SKILL	Habilidades de Guild
GUILD_USE_MASTER_ONLY	Apenas o Líder da Guild tem este direito.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Área de Guerras de Guilds
GUILD_WAR2	Área de Guerras de Guilds
GUILD_WAR3	Área de Guerras de Guilds
GUILD_WAR4	Área de Guerras de Guilds
GUILD_WAR_GAINSCORE_FIFTY	50 pontos
GUILD_WAR_GAINSCORE_HUNDRED	100 pontos
GUILD_WAR_GAINSCORE_THIRTY	30 pontos
GUILD_WAR_GAMETIME_SIXTY	60 minutos
GUILD_WAR_GAMETIME_TEN	10 minutos
GUILD_WAR_GAMETIME_THIRTY	30 minutos
GUILD_WAR_LIMIT_30MIN	Duração: 30 Minutos
GUILD_WAR_REWARD_POTION	Recompensa: O vencedor recebe uma Poção.
GUILD_WAR_SELECT_WAR	Seleccionar tipo
GUILD_WAR_TYPE_DEFENSE	Batalha de Escudo
GUILD_WAR_TYPE_DIE	Batalha de Arena
GUILD_WAR_TYPE_FLAG	Capturar a Bandeira
GUILD_WAR_TYPE_NORMAL	Batalha Campal
GUILD_WAR_TYPE_TIGER	Aniquilação
GUILD_WAR_TYPE_TIME	Contra-Relógio
GUILD_WAR_USE_BATTLE_MAP	Localização: Arena de Guerra
GUILD_WAR_USE_NORMAL_MAP	Localização: Mapa Normal
GUILD_WAR_WIN_CHECK_SCORE	A Guild com o resultado mais alto ganha a Guerra.
GUILD_WAR_WIN_FIVE	5 rondas
GUILD_WAR_WIN_ONE	1 ronda
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captura a Bandeira do teu inimigo
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e leva-a para a tua base.
GUILD_WAR_WIN_THREE	3 rondas
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrota 100 inimigos para vencer.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Recompensas das classificações:\n1.º: título Árbitro/a do Ártico e Asa do Gelo de Balathor (5 Dias)\n2.º: Asa do Gelo de Balathor (3 Dias)\n3.º: Asa do Gelo de Balathor (1 Dia)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Os efeitos já estão ativos.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Só podes usar isso na Cripta de Balathor.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Tens de mover o Ovo de Dragão Ardente na outra direção.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	A Hwacha está pronta a disparar!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Concentra-te no Ovo de Dragão Congelado antes que ele desapareça dentro de %d segundos.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Repeliste o gelo com sucesso.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	O rugido do Balathor faz tremer a cripta.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Balathor perdeu de vista os seus Ovos de Dragão. Agora vai ficar furioso!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Balathor recuperou os seus Ovos de Dragão. Ele vai ter cuidado para não usar todo o seu poder.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Não conseguiste concluir a Cripta de Balathor. A tua personagem será transportada para o exterior dentro de 5 minutos.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	A tua personagem será transportada para o exterior dentro de 3 minutos. Podes falar com o Dolnarr Guarda Dragão para sair imediatamente da masmorra.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Não podes carregar mais flechas.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	O selo de Balathor ficou extremamente enfraquecido porque um Ovo de Dragão foi destruído.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	A morte de um herói enfraqueceu o selo de Balathor.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	O selo de Balathor ficou enfraquecido porque um jogador foi congelado.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Destrói Cristais de Gelo Antigos para receberes Flechas de Fogo.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Destrói rapidamente o Ovo de Dragão Congelado.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	Dentro de 10 segundos, irá aparecer um Ovo do Dragão Balathor e poderás iniciar um ataque direcionado.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	O Balathor fugiu e deixou o seu tesouro para trás.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Será necessário mais dano para o próximo ataque.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Um dos Ovos do Dragão Balathor está a invocar gelo! Concentra os teus ataques para o travares.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Cancelaste a tua tentativa de conquistar a Cripta de Balathor. A tua personagem será transportada para o exterior dentro de 1 minuto.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	A Hwacha está carregada com %d Flechas de Fogo.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Tempo restante: %d
