ACCE_ABSORB_COST	Kombinálás ára: %d
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Tag
GUILDWINDOW_LIST_GUILD_LIST	Céhlista
GUILDWINDOW_LIST_GUILD_LV	Szint
GUILDWINDOW_LIST_GUILD_NAME	Céh
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Céh] Adj meg egy céhnevet!
GUILDWINDOW_LIST_LADDER	Rangpontok
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Céh] Ez a céh nem hirdet.
GUILDWINDOW_LIST_PROMOTE_GUILD	Jelentkezés
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Céhlista
GUILDWINDOW_LIST_RANKING	Pozíció
GUILDWINDOW_LIST_RANKING_COUNT	Pozíció
GUILDWINDOW_LIST_REGISTER	Jelentkezések
GUILDWINDOW_LIST_REGISTER_GUILD	Jelentkezés céhbe
GUILDWINDOW_LIST_SEARCH	Keresés
GUILDWINDOW_LIST_SELECT_GUILD	[Céh] Válassz céhet, ahova jelentkezel!
GUILDWINDOW_PROMOTE_REFRESH	Hirdetés
GUILDWINDOW_PROMOTE_REGISTER	Hirdetés
GUILDWINDOW_REFUND_REDUCED_TAX	Használati díj visszatérítés
GUILDWINDOW_SP_RECOVER	Sárkányisten-erõ
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Oltár fejlesztése
GUILDWINDOW_UPGRADE_GUILDBANK	Bank fejlesztése
GUILD_ATTENDANCE_FAIL_ALREADY	Ma már rögzítetted részvételed.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Jelenleg nem tudod rögzíteni részvételed. A részvétel minden nap 5:00 órakor indul újra.
GUILD_BANKINFO_CLOSE	Bezár
GUILD_BANKINFO_NAME	Tag
GUILD_BANKINFO_TYPE	Tárgy/Fizetõeszköz
GUILD_BANKINFO_USETYPE	Akció
GUILD_BANK_CLOSE	Bezár
GUILD_BANK_INFO	Céhraktár log
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Sikeresen jelentkeztél a Céh harcra.
GUILD_BATTLE_AREA_INFO_TEXT	Hátralevõ idõ: %s\nHátralevõ szörnyek (%d/61)\nKék: (%s) Sárga: (%s) Zöld: (%s) Piros: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Megtámadták a szörnyeket itt: %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Ez alkalommal nem vehetsz részt a Céh harcban, mert már minden hely foglalt. Próbáld újra legközelebb!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Még nem tudsz részt venni ebben. Hátralevõ idõ: %d perc.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Csak az elsõ faluból vagy a Dong Gwang síkságról tudsz belépni.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Nem található megfelelõ ellenfél a céhednek. Kérjük, próbáld újra legközelebb.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Nincs elég hely a leltáradban.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Nem felelsz meg minden követelménynek, hogy részt vehess a Céh harcban.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Nem léphetsz be ebbe a zónába, mert már meghódította azt egy másik céh.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Ezt csak akkor használhatod, ha a zónát már meghódította a céhed.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Csak a céh vezetõje használhatja ezt a tárgyat.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Nem használhatod a Céh harc jegyet.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Ez már használva lett egyszer, és nem használható ismét.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Várnod kell, amíg nincs legalább másik 2 részt vevõ céh.
GUILD_BATTLE_DEAD_TO_PLAYER	A(z) %s céh egy tagja megölt téged.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	A(z) %s %s-t rejtett számodra.
GUILD_BATTLE_ENCOURAGE_MESSAGE	A Céh harc %d perc múlva kezdõdik. Jelentkeztél a részvételre. Készülj fel, és adj bele mindent!
GUILD_BATTLE_END_MESSAGE	A Céh harc véget ért.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	A Céh harc %d perc múlva véget ér.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Beléptél ide: %s. Gyõzz le minden szörnyet!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Belépés
GUILD_BATTLE_ENTER_MESSAGE	Rövidesen bekerülsz a Céh harcra feljelentkezettek közé.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Beléptél ide: %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	A kék csapat tagja vagy. Használd a portált, hogy belépj a Céh harc zónába.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	A zöld csapat tagja vagy. Használd a portált, hogy belépj a Céh harc zónába.
GUILD_BATTLE_ENTER_OUTPOST_RED	A piros csapat tagja vagy. Használd a portált, hogy belépj a Céh harc zónába.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	A sárga csapat tagja vagy. Használd a portált, hogy belépj a Céh harc zónába.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Céh jutalmat kaptál. A leltáradban megtalálod.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Buff jutalmat kaptál. A buff ikonjáról többet megtudhatsz.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Céh jutalom begyûjtése
GUILD_BATTLE_LIST_REMAIN_TIME	Hátralevõ idõ: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s megölt %d szörnyet.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Nincs nálad Gyõztes kulcsa a láda kinyitásához. Gyõzz le szörnyeket a kulcs megtalálásához.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Csinálj egy kis helyet a leltáradban, majd próbáld újra.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Nincs nálad Céh harc jegy.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Még nem tudsz ebben részt venni, mivel a céhed csak az utóbbi 24 órában alapult.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	A zóna meghódításra került. Hamarosan egy portál, illetve szörnyek jelennek meg, hogy megvédjék a zónát.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	A(z) %s meghódításra került. Hamarosan egy portál, illetve szörnyek jelennek meg, hogy megvédjék a zónát.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Ezt a zónát már meghódította egy másik céh. Hamarosan visszateleportálásra kerülsz a Céh elõõrshöz.
GUILD_BATTLE_ONGOING	A harc folyamatban
GUILD_BATTLE_OPEN_REWARD_BOX	Szeretnéd kinyitni ezt: %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	A többi céh már harcol.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Hátralevõ idõ: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Megfelelsz a feltételeknek?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	A harc %s múlva kezdõdik.
GUILD_BATTLE_PERSONAL_BUFF	Buff jutalom
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Buff jutalom begyûjtése
GUILD_BATTLE_PK_GUILD_MESSAGE	%s megölt %d játékost a többi céhbõl.
GUILD_BATTLE_PLAYER_KILL	Megölted a(z) %s céh egy tagját.
GUILD_BATTLE_QUALIFICATION	Gyõzd le a Sárkánykirályt vagy használj\negy Céh harc jegyet a részvételhez.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Kérjük, próbáld újra.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Teleportálásra kerülsz %s múlva.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Újraéledtél a Céh újraéledés segítségével.
GUILD_BATTLE_START_MESSAGE	A Céh harc elkezdõdött! Vállald a kihívást, és csatlakozz az Enter gombra kattintással a Céh harc menübõl!
GUILD_BATTLE_STATUS_BOARD_PK	JÖ: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Kék
GUILD_BATTLE_TEAM_NAME_GREEN	Zöld
GUILD_BATTLE_TEAM_NAME_RED	Piros
GUILD_BATTLE_TEAM_NAME_YELLOW	Sárga
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Használtad a Céh portál jegyet, és hamarosan ide leszel teleportálva: %s.
GUILD_BATTLE_USE_SCROLL	Szeretnél részt venni a Céh harcban?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	A jelentkezésed a Céh harcra visszavonásra került.
GUILD_BOARD_ID	Tag
GUILD_BOARD_TEXT	Üzenet
GUILD_BUILDING_CATEGORY_ALTAR	Oltár
GUILD_BUILDING_CATEGORY_SMELT	Tökéletesítõ épületek
GUILD_BUILDING_CATEGORY_SPECIAL	Oltárok
GUILD_BUILDING_CATEGORY_STORAGE	Céhraktár
GUILD_BUILDING_FIX_CHANGE	Biztosan meg akarod változtatni a pozíciót?
GUILD_BUILDING_FIX_CHANGE_GOLD	Ára: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Biztosan törölni akarod a tárgyat?
GUILD_BUILDING_FIX_NEED_BUILDING	Nincs jelen épület.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Nem fektethetsz ebbe az épületbe, mivel megváltozott.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	Épület EXP
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Épület EXP befektetés
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Nincs elég hely a leltáradban, hogy Különleges épület jegyeket kaphass.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Már kihasználtad az összes befektetési lehetõséged.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Nincs nálad %s tárgy.
GUILD_BUILDING_INVEST_QUESTION	Szeretnél befektetni 1 %s-t ebbe: %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s elérte a(z) %s. szintet.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Ez az épület már elérte a maximális szintjét, és nem fejleszthetõ tovább.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Egy %s felhasználásával befektettél ebbe: %s (%s EXP)
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	A céh szintje nem elég magas, hogy továbbfejleszd ezt az épületet. Elõbb növeld a céhed szintjét.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Terület
GUILD_BUILDING_LOG_PLUS	Törzs+
GUILD_BUILDING_NAME	Épület név
GUILD_BUILDING_PLY_PLUS	Furnérlemez+
GUILD_BUILDING_SMELT_STONE	Rúnakõ
GUILD_BUILDING_STONE_PLUS	Alapkõ+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Nincs jogosultságod ennek a tárgynak a használatára.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Fejlesztõ épületek
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Tökéletesítõ épületek
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Oltárok
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Bezár
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Név
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Épület típus
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Kapott mennyiség
GUILD_CANNOT_HEAL_GSP_ANYMORE	A Sárkányszellem-energia már teljesen fel lett töltve.
GUILD_CHANGEMASTER_TEXT1	Õ lesz az új vezetõ: %s
GUILD_CHANGEMASTER_TEXT2	Szeretnél kinevezni egy új céh vezetõt?
GUILD_CHANGEMASTER_TEXT3	Biztos vagy benne, hogy szeretnéd
GUILD_CHANGEMASTER_TEXT4	átadni a céh vezetõ pozíciót?
GUILD_COMMENT	Írni
GUILD_CONTENTS_ONGOING	A harc folyamatban
GUILD_CREATE_ERROR_INSULT_NAME	Nem érvényes céh név.
GUILD_DEFAULT_GRADE	Céh tagok
GUILD_DELETE	Töröl
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	Felhasznált EXP
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Min. mennyiség: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Nincs felhasználható tapasztalat.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Nincs elég tapasztalat pont.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Nincs elegendõ Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Szükséges mennyiség
GUILD_DEPOSIT	Letétbe helyez
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Most nem hagyhatod el a céhet, mert harcban állsz.
GUILD_DISBAND_SUCCESS_MESSAGE	A céh fel lett oszlatva.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Nincs nálad elég Nagy adományjegy.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Megtelt a leltárad. Nem adományozhatsz.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Az adományozáshoz legalább 30-as szintûnek kell lenned.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Nincs nálad elég Közepes adományjegy.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Nincs elegendõ Yang.
GUILD_DONATE_FAIL_TIME	A céhbe belépés után 24 óráig még nem adományozhatsz.
GUILD_DONATE_QUESTION_HIGH	Szeretnél egy nagy adományt tenni?
GUILD_DONATE_QUESTION_MIDDLE	Szeretnél egy közepes adományt tenni?
GUILD_DONATE_QUESTION_NORMAL	Szeretnél egy kicsi adományt tenni?
GUILD_DO_YOU_HEAL_GSP	Szeretnél %d Yangot felhasználni %d egység Sárkányszellem visszaállítására?
GUILD_DO_YOU_JOIN	 meghívott. Csatlakozni akarsz a céhhez?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Összesített ranglista: Meley barlangja
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Összesített ranglista: Balathor kriptája
GUILD_DRAGONLAIR_PARTY_ALL	Összesített rangsor
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11. hely és alatta: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Súgó
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. hely: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10. hely: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3. hely: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Tagok
GUILD_DRAGONLAIR_PARTY_NOW	Heti rangsor
GUILD_DRAGONLAIR_PARTY_PAST	Elõzõ rangsor
GUILD_DRAGONLAIR_PARTY_TIME	Idõ
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Jutalom
GUILD_DRAGONLAIR_RANKING_FAIL	SIKERTELEN
GUILD_DRAGONLAIR_RANKING_NONE	ÚJ
GUILD_DRAGONLAIR_RANKING_SUCCESS	SIKERES
GUILD_DRAGONLAIR_SECOND	mp.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Jelenlegi ranglista: Meley barlangja
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Jelenlegi ranglista: Balathor kriptája
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Jelentkeztél Balathor kriptájába. A belépéshez beszélj Sárkányfigyelõ Dolnarral. Ezt követõen 10 perced lesz elindítani a harcot.
GUILD_DRAGON_LAIR_DUNGEON_START	A harc Balathor kriptájáért megkezdõdött. A kazamata idõkorlátja egy óra.
GUILD_EMPTY_AREA	Üres táj.
GUILD_ENEMY_GUILD_NAME	Az ellenség céh neve
GUILD_FACILITY	Melléképület
GUILD_GEM	Drágakõ
GUILD_HEADQUARTER	Fõépület
GUILD_HEAL_GSP	Sárkányszellem visszaállítás
GUILD_INFO_ENEMY_GUILD_EMPTY	Nincs
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	A céh terület a(z) %s térképen található az alábbi koordinátákon: %d, %d.
GUILD_LAND_TEXT	Céhterület
GUILD_MARK_NOT_ENOUGH_LEVEL	Legalább 3-as szint szükséges
GUILD_MARK_UPLOAD_NOTICE	Várj egy kicsit, hogy hozzáadhass céhlogókat.
GUILD_MEMBEROUT_AUTH	Nem rúghatsz ki tagokat.
GUILD_MEMBEROUT_NOMAL	Szeretnéd kirúgni ezt a tagot?
GUILD_MEMBER_JOB	Osztály
GUILD_MEMBER_KNIGHT	Bajtárs
GUILD_MEMBER_LEVEL	Szint
GUILD_MEMBER_NAME	Tag
GUILD_MEMBER_RANK	Helyezés
GUILD_MEMBER_SPECIFIC_GRAVITY	Beadott EXP
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Elérhetõ a 21. céh szinttõl.
GUILD_NAME	Céh név
GUILD_NOT_ENOUGH_MATERIAL	Nincs elég építõanyag ehhez az épülethez.
GUILD_NOT_ENOUGH_MONEY	Nincs elég Yang ehhez az épülethez.
GUILD_NO_NOTICE_PERMISSION	Nincs jogosultságod bejelentést tenni.
GUILD_OBJECT	Tárgy
GUILD_OBJECT_POSSIBLE_NEWWORLD	Ez az épület csak a Yohara kontinensen elérhetõ.
GUILD_OFFER_EXP	Tapasztalat befektetés
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Ranglista jutalmak:\n1.: Lángok legyõzõje cím és Magma sárkány (5 nap)\n2.: Magma sárkány (3 nap)\n3.: Magma sárkány (1 nap)
GUILD_SELECT_ONE	Válassz egy céhtagot!
GUILD_SHORT_EXP	Nincs elég tapasztalat pont.
GUILD_SITE_AUCTION_END_TIME	Területaukció: %02d/%02d (hónap/nap) %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Területaukció: N/A
GUILD_SITE_AUCTION_INFO	Kikiáltott terület: %s / (%d,%d)
GUILD_SITE_AUCTION_INFO_DEFAULT	Kikiáltott terület: N/A
GUILD_SITE_AUCTION_MAP_INFO	Dátum (hónap/nap): %02d/%02d; Idõ: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Minden ajánlat beküldésre került.
GUILD_SITE_AUCTION_STATE_REGIST	A %s területen egy föld (%s,%s) elérhetõ aukción. Csak a céh vezetõk regisztrálhatnak a területaukcióra.
GUILD_SITE_AUCTION_STATE_RUN	A területaukció véget ér ekkor: %02d/%02d (hónap/nap) %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Területaukció kezdõdik ekkor: %02d/%02d (hónap/nap) %02d:%02d a %s (%d,%d) területért.
GUILD_SITE_AUTO_ABNDON_TIME	Terület automatikus elhagyása: %s
GUILD_SITE_TAX_INFO	A céhterület elhagyásra kerül ekkor: %s. A céhraktárban minden tárgy törlésre kerül.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Bónusz begyûjtése
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Nincs nálad elegendõ Különleges épület jegy.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Nincs elég Yangod.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Szeretnéd megkapni a bónuszokat? Ha ugyanaz a hatás érvényesülne, akkor a magasabb érték fog számítani.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	A jelenlegi bónuszok listáját kicserélheted egy újra a hozzá tartozó díjért.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	A bónuszok listája lecserélõdött.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	A megidézõ lista lecserélõdött.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Nincs nálad elegendõ Különleges épület jegy.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Nincs elég Yangod.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Szeretnél szörnyeket megidézni?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	A jelenlegi megidézõ listát kicserélheted egy újra a hozzá tartozó díjért.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Megidézés
GUILD_TILE_BASEINFO	Terület-információ
GUILD_TILE_BOARD	Céh-üzenetek
GUILD_TILE_GRADE	Jogok Kezelése
GUILD_TILE_GUILD_BATTLE	Céh harc
GUILD_TILE_GUILD_CONTENTS_LIST	Céh harc
GUILD_TILE_INFO	Céh információ
GUILD_TILE_MEMBER	Tag
GUILD_TILE_SKILL	Céh készség
GUILD_USE_MASTER_ONLY	Ezt csak a céhvezér használhatja.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Céhháború terület
GUILD_WAR2	Céhháború terület
GUILD_WAR3	Céhháború terület
GUILD_WAR4	Céhháború terület
GUILD_WAR_GAINSCORE_FIFTY	50 pont
GUILD_WAR_GAINSCORE_HUNDRED	100 pont
GUILD_WAR_GAINSCORE_THIRTY	30 pont
GUILD_WAR_GAMETIME_SIXTY	60 perc
GUILD_WAR_GAMETIME_TEN	10 perc
GUILD_WAR_GAMETIME_THIRTY	30 perc
GUILD_WAR_LIMIT_30MIN	Idõ: 30 perc
GUILD_WAR_REWARD_POTION	Jutalom: a gyõztes italokat kap
GUILD_WAR_SELECT_WAR	Válassz típust
GUILD_WAR_TYPE_DEFENSE	Pajzs-harc
GUILD_WAR_TYPE_DIE	Aréna-harc
GUILD_WAR_TYPE_FLAG	Kapd el a zászlót
GUILD_WAR_TYPE_NORMAL	Mezei harc
GUILD_WAR_TYPE_TIGER	Megsemmisítés
GUILD_WAR_TYPE_TIME	Támadás idõre
GUILD_WAR_USE_BATTLE_MAP	Helyszín: Céhháború Aréna
GUILD_WAR_USE_NORMAL_MAP	Helyszín: Normál Térkép
GUILD_WAR_WIN_CHECK_SCORE	Legmagasabb eredmény háborút nyer.
GUILD_WAR_WIN_FIVE	5 menet
GUILD_WAR_WIN_ONE	1 menet
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Szerezd meg az ellenség zászlaját,
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	és vidd el a bázisodra.
GUILD_WAR_WIN_THREE	3 menet
GUILD_WAR_WIN_WIPE_OUT_GUILD	Gyõzz le minden ellenséget a gyõzelemért.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Ranglista jutalmak:\n1.: Sarki ítélethozó cím és Balathor jégszárnyasa (5 nap)\n2.: Balathor jégszárnyasa (3 nap)\n3.: Balathor jégszárnyasa (1 nap)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	A hatások már aktívak.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Ezt csak Balathor kriptájában használhatod.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	A másik irányba kell mozgatnod a Lángoló sárkánytojást.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	A Tûzkocsi készen áll a tüzelésre!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Koncentrálj a Fagyott sárkánytojásra, mielõtt az eltûnik %d másodperc múlva.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Sikeresen elhárítottad a jeges hideget.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Balathor üvöltése megremegteti a kriptát.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Balathor szem elõl tévesztette a Sárkánytojásait. Most kezd bedühödni!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Balathornak újra vannak Sárkánytojásai. Vigyáz arra, hogy ne használja a teljes erejét.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Nem sikerült teljesítened Balathor kriptáját. Ki leszel teleportálva 5 percen belül.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	Ki leszel teleportálva 3 percen belül. A kazamatából való azonnali kilépéshez beszélj Sárkányfigyelõ Dolnarral.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Nem tudsz több nyilat betölteni.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	Balathor pecsétje jelentõsen meggyengült a Sárkánytojás elpusztítása miatt.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	Egy hõs halála meggyengítette Balathor pecsétjét.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Balathor pecsétje meggyengült, mert valaki a fagy fogságába esett.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Pusztíts el Õsi jégkristályokat Tûznyilak szerzéséhez.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Gyorsan pusztítsd el a Fagyott sárkánytojást!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	10 másodpercen belül megjelennek Balathor tojásai, és egy célzott támadást indíthatsz.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor elmenekül, és maga mögött hagyja a kincsét.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Több sebzés lesz szükséges a következõ támadáshoz.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Balathor egyik tojása jeges hideget áraszt. Koncentráld a támadást, hogy megállítsd.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Megszakítottad a próbálkozásod, hogy teljesítsd Balathor kriptáját. Ki leszel teleportálva 1 percen belül.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	A Tûzkocsiban jelenleg %d Tûznyíl van.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Hátralevõ idõ: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	Ki leszel teleportálva %d percen belül. A kazamatából való azonnali kilépéshez beszélj Sárkányfigyelõ Dolnarral.
