ACCEPT	OK
GUILD_BUILDING_SPECIAL_SUMMON_MATERIAL_TITLE	Materiali necessari
GUILD_BUILDING_SPECIAL_SUMMON_MOB_NAME_TITLE	Nome
GUILD_BUILDING_SPECIAL_SUMMON_REROLL_TITLE	Costi di cambio
GUILD_BUILDING_SPECIAL_SUMMON_TITLE	Livello Altare
GUILD_BUILDING_SPECIAL_SUMMON_UI_TITLE	Santuario di evocazione
GUILD_BUILDING_STONE	Pietra fond.
GUILD_BUILDING_TITLE	Edificio della Gilda
GUILD_BUILDING_USE_COST_LOG_UI_TITLE	Panoramica dei costi di utilizzo
GUILD_CRYSTAL	Cristallo
GUILD_DELETE_PLAYER_EXP_BUTTON_TEXT	Rimuovi esperienza
GUILD_DELETE_PLAYER_EXP_DIALOG_CANCEL_BUTTON_TEXT	Annulla
GUILD_DELETE_PLAYER_EXP_DIALOG_CONFIRM_BUTTON_TEXT	Conferma
GUILD_DELETE_PLAYER_EXP_DIALOG_MAX_BUTTON_TEXT	MAX
GUILD_DELETE_PLAYER_EXP_DIALOG_TITLE	Esperienza usata
GUILD_DEPOSIT	Numeri
GUILD_DONATE_BUTTON_OVER_TEXT	Oggetto casuale
GUILD_DONATE_COUNT	Donazioni disponibili: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	EXP gilda
GUILD_DONATE_HIGH_MATERIAL	Donazione generosa
GUILD_DONATE_MEDAL_OF_HONOR	Medaglia del coraggio
GUILD_DONATE_MIDDLE_MATERIAL	Donazione media
GUILD_DONATE_MY_MEDAL_OF_HONOR	Medaglie del coraggio
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Donazione generosa
GUILD_DONATE_TAB_MIDDLE	Donazione media
GUILD_DONATE_TAB_NORMAL	Donazione minima
GUILD_DONATE_TITLE	Donazioni EXP
GUILD_DRAGONLAIR_RANKING	Classifica
GUILD_DRAGONLAIR_RANKING_COUNT	Posto
GUILD_DRAGONLAIR_RANKING_MEMBER	Membri
GUILD_DRAGONLAIR_RANKING_NAME	Gilda
GUILD_DRAGONLAIR_RANKING_TIME	Tempo
GUILD_DROP_RESOURCE1	qui
GUILD_DROP_RESOURCE2	Far cadere risorse
GUILD_GEM	Pietre preziose
GUILD_GRADE_CHANGE_GRADE_NAME	Nuovo nome di Rango
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_BANK	Si possono usare la banca della gilda e il Magazzino della Gilda
GUILD_GRADE_PERMISSION_DELETE	Espelli dalla gilda
GUILD_GRADE_PERMISSION_JOIN	Si possono ammettere dei giocatori nella gilda
GUILD_GRADE_PERMISSION_NOTICE	Appendi appunti della gilda
GUILD_GRADE_PERMISSION_SKILL	Abilità della gilda
GUILD_GRADE_PERMISSION_WAR	Si possono scegliere i membri che partecipano in veste di guerrieri
GUILD_GRADE_RANK	Rango
GUILD_GRADE_WRITE	Scrivi
GUILD_INFO	Informazioni della Gilda
GUILD_INFO_CUR_EXP	Esperienza
GUILD_INFO_DECALRE_WAR	Dichiara guerra
GUILD_INFO_ENEMY_GUILD	Gilda nemica
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_INFO_LEVEL	Livello Gilde
GUILD_INFO_MARK	Simbolo delle Gilde
GUILD_INFO_MASTER	Capo
GUILD_INFO_MASTER_VALUE	Capo
GUILD_INFO_MEMBER_AVG_LEVEL	Livello medio
GUILD_INFO_MEMBER_NUM	Numero di membri
GUILD_INFO_NAME	Nome della Gilda
GUILD_INFO_NAME_VALUE	Questo è il nome di una Gilda
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Esperienza necessaria
GUILD_INFO_UPLOAD_MARK	Carica Stemma
GUILD_INFO_UPLOAD_SYMBOL	Carica bandiera
GUILD_MARK	Stemma della gilda
GUILD_MASTER_CHANGE_TITLEBAR	Rinuncia alla conduzione della gilda
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Guerriero
GUILD_MEMBER_LEVEL	Livello
GUILD_MEMBER_NAME	Nome
GUILD_MEMBER_OUT_TITLEBAR	Espelli membro
GUILD_MEMBER_PACE_ATTENDANCE	Partecipazione ({0}/{1})
GUILD_MEMBER_RANK	Posizione
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Pietra spirituale
GUILD_MINENAL	Minerale
GUILD_MONEY	Yang
GUILD_NAME	Gilda
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_CLEAR_TIME	Tempo
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_GUILD_NAME	Scegliere il nome
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_MEMBER_COUNT	Membri
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_RANK	Rango
GUILD_RAGONLAIR_RANKING_BOARD_COLUMN_UPDATE_TIME	Ora di chiusura
GUILD_RESOURCE_INFO	Informazioni delle risorse
GUILD_SKILLPAGE_LADDER	Punti Karma
GUILD_SKILLPAGE_RANK	Rango
GUILD_SKILL_ACTIVE	Attivo
GUILD_SKIlL_HEAL_GSP	Ricaricare
GUILD_SKILL_PASSIVE	Passivo
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Abilità della Gilda
GUILD_SYMBOL	Stemma della Gilda
GUILD_WAR_ACCEPT	Accettare dichiarazione di guerra
GUILD_WAR_ALLSCORE	Tutte le battaglie
GUILD_WAR_BATTLE_TYPE	Tipo di lotta
GUILD_WAR_CTF	Bandiera
GUILD_WAR_DECLARE	Dichiarare guerra
GUILD_WAR_ENEMY	Avversario
GUILD_WAR_GAINSCORE	Punti
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Durata battaglia
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Membri
GUILD_WAR_JOINMEMBER_COUNT	Membri
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Campo
GUILD_WAR_REPORT	Riepilogo guerra
GUILD_WAR_REPORTLIST	Tabella (Combattimenti: C; Vittorie: V; Sconfitte: S; Parità: P)
GUILD_WAR_SCORE	Riepilogo guerra
GUILD_WAR_SKILL	Abilità della gilda
GUILD_WAR_TYPE_DEFENSE	Battaglia difensiva
GUILD_WAR_TYPE_DIE	Battaglia arena
GUILD_WAR_TYPE_FLAG	Battaglia per la bandiera
GUILD_WAR_TYPE_NORMAL	Battaglia campale
GUILD_WAR_TYPE_TIGER	Battaglia di annientamento
GUILD_WAR_TYPE_TIME	Attacco a tempo
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Round
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Acqua
GUILD_WATER_STONE	Pietra acquatica
GUILD_WITHDRAW	Prendi
HELP_ATTACK	Attiva l'attacco unico cliccando con il mouse.
HELP_ATTACK_KEY	Attacco: tasto sinistro del mouse o barra spaziatrice
HELP_AUTO_ATTACK	Attiva l'attacco automatico cliccando con il mouse.
HELP_CAMERA	Videocamere
HELP_CHANGE_PK_MODE	Cambiare il tipo di attacco: modifica impostazioni del tasto sinistro del mouse
HELP_CHARACTER_BUTTON1	(Finestra del personaggio, finestra dell'inventario,
HELP_CHARACTER_BUTTON2	lista degli amici e opzioni)
HELP_CHAT	Per chattare con i rispettivi gruppi, scrivi !(audiochat), #(chat di gruppo) oppure %(chat della gilda) prima del tuo testo.
HELP_CLICK_OTHER_PLAYER	Cliccando con il tasto destro su un altro giocatore, puoi negoziare, fondare gruppi e sfidarlo a duello.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Modalità videocamera: tasto centrale del mouse
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Modalità videocamera: tasto destro o sinistro del mouse
HELP_EMOTINO	Con le combinazioni di tasti <Ctrl> + <1~9> puoi visualizzare le emozioni.
HELP_EXP	Esperienza
HELP_FURY	Item Shop Ingame
HELP_GUILD_WINDOW	Aprire la finestra della Gilda: Alt + G
HELP_HELP	Mostra aiuto: H
HELP_HELP_KEY	L'Aiuto mostra le impostazioni standard.
HELP_HP	Punti vita (HP)
HELP_KEYSETTING	Nelle opzioni di gioco puoi impostare le tue combinazioni di tasti.
HELP_MESSENGER_WINDOW	Aprire la lista degli amici: Alt + M
HELP_MINIMAP	Visualizza la Mini-mappa.
HELP_MINIMAP_QUEST	Sulla Mini-mappa e sulla Mappa grande, le missioni vengono indicate con un segnale luminoso.
HELP_MOUSE_LEFT	Funzione del tasto sinistro del mouse
HELP_MOUSE_RIGHT	Funzione del tasto destro del mouse
HELP_MOVE_KEY	Movimento personaggio: W, S, A, D o tasti freccia
HELP_OFF_QUESTSCROLL	Con <Ctrl> + Q puoi visualizzare e nascondere i Papiri della Quest.
HELP_OPEN_CHARACTER	Finestra del personaggio: C
HELP_OPEN_CHAT	Aprire la finestra di chat: invio
HELP_OPEN_INVENTORY	Aprire la finestra dell'inventario: I
HELP_OPEN_LOG	Aprire il protocollo chat (log): L
HELP_OPEN_MINIMAP	Aprire la mini-mappa: MAIUSC + M
HELP_OPEN_QUEST	Aprire la finestra delle missioni: N
HELP_OPEN_SKILL	Aprire la finestra delle abilità: V
HELP_OPEN_WHISPER	Aprire la chat privata: MAIUSC + INVIO
HELP_OPEN_ZONEMAP	Aprire la mappa grande: M
HELP_PICK_ITEM	Raccogliere oggetti: \ o Z o il tasto sinistro del mouse
HELP_QUICKSLOT	Campi di accesso rapido
HELP_SCREEN_CAPTURE	Fare uno screenshot: Stamp o Print (l'immagine sarà salvata nella cartella "Metin2\screenshot")
HELP_SERVER	Visualizza server e canale.
HELP_SHOW_ALL_NAME	Visualizza nome: Alt
HELP_SKILL	Clicca con il tasto destro del mouse per usare un'abilità.
HELP_SP	Punti Mana (MP)
HELP_SYSTEM_BUTTON	Tasti di sistema
ICECREAM_EVENT_TITL	Evento estivo
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1° Inventario
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2° Inventario
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3° Inventario
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4° Inventario
INVENTORY_TITLE	Inventario
ITEM_MALL	Item Shop
KEYCHANGE_ACTION_WINDOW	Offerte
KEYCHANGE_ATTACK	Attacca
KEYCHANGE_AUTORUN	Automovimento
KEYCHANGE_AUTO_WINDOW	Autocaccia
KEYCHANGE_BASEACTION	Impostazioni base
KEYCHANGE_CAM_DOWN1	Videocamera (in basso)
KEYCHANGE_CAM_DOWN2	Videocamera (in basso)
KEYCHANGE_CAM_LEFT1	Videocamera (a sinistra)
KEYCHANGE_CAM_LEFT2	Videocamera (a sinistra)
KEYCHANGE_CAM_RIGHT1	Videocamera (a destra)
KEYCHANGE_CAM_RIGHT2	Videocamera (a destra)
KEYCHANGE_CAM_UP1	Videocamera (in alto)
KEYCHANGE_CAM_UP2	Videocamera (in alto)
KEYCHANGE_CAM_ZOOM_IN1	Videocamera (zoom +)
KEYCHANGE_CAM_ZOOM_IN2	Videocamera (zoom +)
KEYCHANGE_CAM_ZOOM_OUT1	Videocamera (zoom -)
KEYCHANGE_CAM_ZOOM_OUT2	Videocamera (zoom -)
KEYCHANGE_CANCLE	Esci
KEYCHANGE_CHAT_WINDOW	Protocollo della chat
KEYCHANGE_CLEAR	Standard
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Indietro
KEYCHANGE_DOWN2	Indietro
KEYCHANGE_DRAGON_GATE	
KEYCHANGE_DSS1	PD [Cielo]
KEYCHANGE_DSS2	PD [Terra]
KEYCHANGE_EMOTION1	Emozione (triste)
KEYCHANGE_EMOTION2	Emozione (Yang)
KEYCHANGE_EMOTION3	Emozione (musica)
KEYCHANGE_EMOTION4	Emozione (cuore)
KEYCHANGE_EMOTION5	Emozione (cuoricino)
KEYCHANGE_EMOTION6	Emozione (bomba)
KEYCHANGE_EMOTION7	Emozione (idea)
KEYCHANGE_EMOTION8	Emozione (tempesta)
KEYCHANGE_EMOTION9	Emozione (sorry)
KEYCHANGE_ESC	Sistema
KEYCHANGE_GUILD_WINDOW	Gilda
KEYCHANGE_HELP_WINDOW	Aiuto
KEYCHANGE_IMPOSSIBLE_CHANGE	Qui non si possono utilizzare [Ctrl], [Alt] e [Shift]!
KEYCHANGE_INGAMEEVENT	EVENTO
KEYCHANGE_INTERFACE	Finestra
KEYCHANGE_INVENTORY_WINDOW	Inventario
KEYCHANGE_KEY_SETTING	Impostazioni tastiera
KEYCHANGE_LEFT1	A sinistra
KEYCHANGE_LEFT2	A sinistra
KEYCHANGE_MERCENARY	Mercenari
KEYCHANGE_MESSENGER_WINDOW	Amici
KEYCHANGE_MINIMAP_MINER	Mini-mappa (-)
KEYCHANGE_MINIMAP_PLUS	Mini-mappa (+)
KEYCHANGE_MINIMAP_WINDOW	Mappa grande
KEYCHANGE_MONSTER_CARD_WINDOW	Carta mostro
KEYCHANGE_NEXT_TARGET	Prossimo obiettivo
KEYCHANGE_PARTY_MATCH_WINDOW	Ricerca gruppi
KEYCHANGE_PASSIVE_ATTR1	Bonus Reliquia (cielo)
KEYCHANGE_PASSIVE_ATTR2	Bonus Reliquia (terra)
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Visualizzazione missione
KEYCHANGE_QUEST_WINDOW	Missioni
KEYCHANGE_QUICKSLOT1	Livello 1
KEYCHANGE_QUICKSLOT2	Livello 2
KEYCHANGE_QUICKSLOT3	Livello 3
KEYCHANGE_QUICKSLOT4	Livello 4
KEYCHANGE_RIDE	Cavalca
KEYCHANGE_RIDE_BYE	Manda via il cavallo
KEYCHANGE_RIDE_HORSE	Cavalca
KEYCHANGE_RIDE_PEED	Nutri il cavallo
KEYCHANGE_RIGHT1	A destra
KEYCHANGE_RIGHT2	A destra
KEYCHANGE_ROOT1	Annulla
KEYCHANGE_ROOT2	Annulla
KEYCHANGE_SAVE	Salva
KEYCHANGE_SCREENSHOT	Fotografia istantanea
KEYCHANGE_SHOW_NAME	Visualizza nomi
KEYCHANGE_SHOW_NAME_BAR	Visualizza nomi
KEYCHANGE_SKILL_WINDOW	Abilità
KEYCHANGE_SLOT1	Slot 1 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT2	Slot 2 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT3	Slot 3 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT4	Slot 4 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT5	Slot 5 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT6	Slot 6 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT7	Slot 7 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT8	Slot 8 (pagina attuale degli slot rapidi)
KEYCHANGE_SLOT_KET	Accesso rapido
KEYCHANGE_STATUS_WINDOW	Personaggio
KEYCHANGE_SUNGMAHEE_GATE_ACHIEV	Trofeo
KEYCHANGE_UP1	Avanti
KEYCHANGE_UP2	Avanti
KEYCHANGE_USE_PRISM	Lente della previdenza
LANGUAGE_AE	Arabo
LANGUAGE_CZ	Ceco
LANGUAGE_DE	Tedesco
LANGUAGE_DK	Danese
LANGUAGE_EN	Inglese
LANGUAGE_ES	Spagnolo
LANGUAGE_FR	Francese
LANGUAGE_GR	Greco
LANGUAGE_HU	Ungherese
LANGUAGE_IT	Italiano
LANGUAGE_NL	Olandese
LANGUAGE_NONE	Nessuna selezione
LANGUAGE_PL	Polacco
LANGUAGE_PT	Portoghese
LANGUAGE_RO	Romeno
LANGUAGE_RU	Russo
LANGUAGE_TR	Turco
LEFT_SEAT	AFK
LEFT_SEAT_10_MIN	10 min.
LEFT_SEAT_30_MIN	30 min.
LEFT_SEAT_60_MIN	60 min.
LEFT_SEAT_90_MIN	90 min.
LEFT_SEAT_120_MIN	120 min.
LEFT_SEAT_180_MIN	180 min.
LEFT_SEAT_LOGOUT	Sconnetti
LEFT_SEAT_OFF	OFF
LOAD_ERROR	Il file dati è rovinato. Reinstalla il Client. Clicca ora il tasto ESC.
LOGIN_CONNECT	Collegare
LOGIN_CONNECTING	Stai per essere collegato al server.
LOGIN_DEFAULT_SERVERADDR	Nome del server, Canale 1
LOGIN_EXIT	Termina
LOGIN_ID	Nome utente
LOGIN_PASSWORD	Password
LOGIN_REGION_TITLE	Luogo dove deve essere spedito il conto
LOGIN_SELECT_BUTTON	Scegli
LOGIN_SELECT_EXIT	Termina
LOGIN_SELECT_OK	Ok
LOGIN_SELECT_TITLE	Scegli server
LOOTING_SYSTEM_ARMOR	Armatura
LOOTING_SYSTEM_CATEGORY_COMMON	Altro
LOOTING_SYSTEM_CATEGORY_COMMON_BELT	Cinture
LOOTING_SYSTEM_CATEGORY_COMMON_EAR	Orecchini
LOOTING_SYSTEM_CATEGORY_COMMON_FOOTS	Scarpe
LOOTING_SYSTEM_CATEGORY_COMMON_GLOVE	Guanti
LOOTING_SYSTEM_CATEGORY_COMMON_NECK	Collane
LOOTING_SYSTEM_CATEGORY_COMMON_PENDANT	Talismani
LOOTING_SYSTEM_CATEGORY_COMMON_PICK	Picconi
LOOTING_SYSTEM_CATEGORY_COMMON_ROD	Canne da pesca
LOOTING_SYSTEM_CATEGORY_COMMON_SHIELD	Scudi
LOOTING_SYSTEM_CATEGORY_COMMON_WRIST	Bracciali
LOOTING_SYSTEM_CATEGORY_COSTUME	Costume
LOOTING_SYSTEM_CATEGORY_COSTUME_ACCE	Stole
LOOTING_SYSTEM_CATEGORY_COSTUME_ARMOR	Costumi
LOOTING_SYSTEM_CATEGORY_COSTUME_AURA	Vesti Aura
LOOTING_SYSTEM_CATEGORY_COSTUME_ETC	altri
LOOTING_SYSTEM_CATEGORY_COSTUME_HAIR	Pettinature
LOOTING_SYSTEM_CATEGORY_COSTUME_WEAPON	Skin per arma
LOOTING_SYSTEM_CATEGORY_DS	Tipo
LOOTING_SYSTEM_CATEGORY_DS_DS	Cor draconis
LOOTING_SYSTEM_CATEGORY_DS_ETC	altri
LOOTING_SYSTEM_CATEGORY_ETC	altro
LOOTING_SYSTEM_CATEGORY_ETC_ETC	altri
LOOTING_SYSTEM_CATEGORY_ETC_GIFTBOX	Pacchi regalo
LOOTING_SYSTEM_CATEGORY_ETC_MATRIMONY	Nozze&Matrimonio
LOOTING_SYSTEM_CATEGORY_ETC_PARTY	Gruppo
LOOTING_SYSTEM_CATEGORY_ETC_POLYMORPH	Trasformazione
LOOTING_SYSTEM_CATEGORY_ETC_RECIPE	Produzione
LOOTING_SYSTEM_CATEGORY_ETC_SEAL	Pergamene
LOOTING_SYSTEM_CATEGORY_ETC_WEAPON_ARROW	Frecce
LOOTING_SYSTEM_CATEGORY_FISH_MINING	Tipo
LOOTING_SYSTEM_CATEGORY_FISH_MINING_ETC	altri
LOOTING_SYSTEM_CATEGORY_FISH_MINING_FOOD	Cibo
LOOTING_SYSTEM_CATEGORY_FISH_MINING_STONE	Minerali e pietre
LOOTING_SYSTEM_CATEGORY_JOB	Classe
LOOTING_SYSTEM_CATEGORY_JOB_ASSASSIN	Ninja
LOOTING_SYSTEM_CATEGORY_JOB_PUBLIC	Altro
LOOTING_SYSTEM_CATEGORY_JOB_SHAMAN	Shamano
LOOTING_SYSTEM_CATEGORY_JOB_SURA	Sura
LOOTING_SYSTEM_CATEGORY_JOB_WARRIOR	Guerriero
LOOTING_SYSTEM_CATEGORY_JOB_WOLFMAN	Lican
LOOTING_SYSTEM_CATEGORY_MOUNT_PET	Tipo
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_CHARGED_PET	Pet
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_EGG	Uova del pet
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_FREE_PET	Accessori pet
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_MOUNT	Cavalcature
LOOTING_SYSTEM_CATEGORY_POTION	Tipo
LOOTING_SYSTEM_CATEGORY_POTION_ABILITY	Beni di consumo
LOOTING_SYSTEM_CATEGORY_POTION_ETC	altri
LOOTING_SYSTEM_CATEGORY_POTION_HAIRDYE	Colori di capelli
LOOTING_SYSTEM_CATEGORY_REFINE	Tipo
LOOTING_SYSTEM_CATEGORY_REFINE_ALCHEMY	Aumenta la Probabilità
LOOTING_SYSTEM_CATEGORY_REFINE_ETC	altri
LOOTING_SYSTEM_CATEGORY_REFINE_MATERIAL	Materiali
LOOTING_SYSTEM_CATEGORY_REFINE_STONE	Pietre spirituali
LOOTING_SYSTEM_CATEGORY_UNIQUE	Tipo
LOOTING_SYSTEM_CATEGORY_UNIQUE_ABILITY	Beni di consumo
LOOTING_SYSTEM_CATEGORY_UNIQUE_ETC	altri
LOOTING_SYSTEM_COMMON	Altro equipaggiamento
LOOTING_SYSTEM_COSTUME	Costume
LOOTING_SYSTEM_DS	Alchimia delle Pietre del drago
LOOTING_SYSTEM_ETC	Altro oggetto
LOOTING_SYSTEM_EVENT	Item eventi
LOOTING_SYSTEM_EXIT_WITHOUT_SAVING	Chiudere senza salvare?
LOOTING_SYSTEM_EXIT_WITH_SAVING	Salvare e chiudere? Le modifiche verranno implementate non appena utilizzi il Pass bottino.
LOOTING_SYSTEM_FISH_MINING	Pesca e scienza mineraria
LOOTING_SYSTEM_HEAD	Elmo
LOOTING_SYSTEM_INIT	Resetta
LOOTING_SYSTEM_INIT_QUESTION_DIALOG_TITLE	Vuoi resettare le impostazioni?
LOOTING_SYSTEM_MESSAGE_ENABLE_VOUCHER	Le funzioni verranno attivate con il Pass bottino.
LOOTING_SYSTEM_MESSAGE_POSSIBLE_ITEM_PICKUP	Il bottino che ottieni si adatta alle tue impostazioni.
LOOTING_SYSTEM_MOUNT_PET	Pet e cavalcature
LOOTING_SYSTEM_OFF	OFF
LOOTING_SYSTEM_ON	ON
LOOTING_SYSTEM_POTION	Pozioni
LOOTING_SYSTEM_QUESTION_ARMOR	Qui puoi definire i parametri di raccolta per le armature.
LOOTING_SYSTEM_QUESTION_COMMON	Puoi definire i parametri di raccolta per altri oggetti che possono essere utilizzati da tutte le classi.
LOOTING_SYSTEM_QUESTION_COSTUME	Qui puoi definire i parametri di raccolta per i costumi (armi, armature, copricapi, stole e Vesti Aura).
LOOTING_SYSTEM_QUESTION_DS	Qui puoi definire i parametri di raccolta per gli item Alchimia delle Pietre del drago.
LOOTING_SYSTEM_QUESTION_ETC	Qui puoi definire i parametri di raccolta per altri item che appartengono alle categorie "equipaggiamento", "costumi", "raffinamento", "pozioni", "cavalcature", "pet", "pesca", "scienza mineraria", "Libri delle abilità" e "item degli eventi".
LOOTING_SYSTEM_QUESTION_EVENT	Qui puoi definire i parametri di raccolta per gli item dell'evento.
LOOTING_SYSTEM_QUESTION_FISH_MINING	Qui puoi definire i parametri di raccolta per gli item della pesca e della scienza mineraria.
LOOTING_SYSTEM_QUESTION_HEAD	Qui puoi definire i parametri di raccolta per gli elmi.
LOOTING_SYSTEM_QUESTION_MOUNT_PET	Qui puoi definire i parametri di raccolta per le cavalcature e i pet.
LOOTING_SYSTEM_QUESTION_POTION	Qui puoi definire i parametri di raccolta per le pozioni.
LOOTING_SYSTEM_QUESTION_REFINE	Qui puoi definire i parametri di raccolta per gli item di raffinamento.
LOOTING_SYSTEM_QUESTION_SKILL_BOOK	Contiene Libri delle abilità per determinate classi e per le abilità del cavallo.
LOOTING_SYSTEM_QUESTION_UNIQUE	Qui puoi definire i parametri di raccolta per oggetti unici.
LOOTING_SYSTEM_QUESTION_WEAPON	Le armi comprendono tutte le armi che possono essere aggiunte all'equipaggiamento fatta eccezione per le frecce.
LOOTING_SYSTEM_REFINE	Raffinamento
LOOTING_SYSTEM_SAVE	Salva
LOOTING_SYSTEM_SAVING	Vuoi salvare?\nLe funzioni vengono attivate quando viene utilizzato un Pass bottino.
LOOTING_SYSTEM_SKILL_BOOK	Libro delle abilità
LOOTING_SYSTEM_TITLE	Filtro Prede
LOOTING_SYSTEM_UNIQUE	Unico
LOOTING_SYSTEM_WEAPON	Arma
LOOTING_SYSTEM_WEARING_LEVEL	Livello richiesto
LUCKY_BOX_NOTICE_YANG	Yang da pagare per "Fortuna nuova, item nuovo"
LUCKY_BOX_RECV_BUTTON	Accetta item
LUCKY_BOX_RECV_NAME	Contenuto:
LUCKY_BOX_RETRY_BUTTON	Fortuna nuova, item nuovo
LUCKY_BOX_TITLE_NAME	Cassetta Fortuna
MAILBOX_POST_ALL_DELETE_BUTTON	Elimina tutti
MAILBOX_POST_ALL_RECEIVE	Accetta tutti
MAILBOX_POST_READ_BLOCK	Blocca
MAILBOX_POST_READ_DELETE	Elimina
MAILBOX_POST_READ_FROM	Da
MAILBOX_POST_READ_MAIN_TITLE	Messaggio
MAILBOX_POST_READ_RECV	Accetta
MAILBOX_POST_READ_TITLE	Oggetto
MAILBOX_POST_SEND_TITLE	Messaggio
MAILBOX_POST_WRITE_BUTTON_TEXT	Invia
MAILBOX_POST_WRITE_CLOSE_TEXT	Chiudi
MAILBOX_POST_WRITE_CONFIRM_TEXT	Verifica destinatario
MAILBOX_POST_WRITE_SEND_TEXT	Invia
MAILBOX_POST_WRITE_TITLE	Oggetto
MAILBOX_POST_WRITE_TO	A
MAILBOX_TITLE	Posta in arrivo
MALL_PASSWORD_TITLE	Password
MALL_TITLE	Magazzino dell'Item Shop
MARKET_TITLE	Negozio
MARKLIST_REFRESH	Attualizza
MARKLIST_TITLE	Registra il logo della Gilda
MC_ACHIEV_ABLE_REGIST	Reclama
MC_ACHIEV_APPLY	Applica
MC_ACHIEV_APPLYING	Attivo
MC_ACHIEV_BONUS_NONE	Nessun bonus
MC_ACHIEV_DISABLE	Non attivo
MC_ACHIEV_DUNGEON	Conquiste (dungeon)
MC_ACHIEV_DUNGEON_BONUS	Bonus (dungeon)
MC_ACHIEV_FIELD	Conquiste (campo)
MC_ACHIEV_FIELD_BONUS	Bonus (campo)
MC_ACHIEV_REGIST	Reclama Conquista
MC_ACHIEV_SHOW	Dettagli
MC_ACHIEV_SORT_ABLE_REGIST	Reclama
MC_ACHIEV_SORT_ALL	Tutto
MC_ACHIEV_SORT_APPLYING	Attivo
MC_ACHIEV_SORT_DISABLE	Non raggiunto
MC_ACHIEV_SORT_REGIST	Attivabile
MC_EXCHANGE_BUTTON	Scambia
MC_MISSION_INIT_BUTTON	Ripristina livello missione
MC_MOTION_BUTTON	Movimento
MC_POLY_BUTTON	Trasformazione
MC_PROMOTION_BUTTON	Migliora
MC_REQUEST_MISSION_BUTTON	Acquisisci missione
MC_REWARD_CARD_BUTTON	Ottieni carta mostro
MC_SHUFFLE_BUTTON	Riordina carte mostro
MC_SUMMON_BUTTON	Evoca
MC_TAB_BUTTON_ACHIEV	Bonus Conquiste
MC_TAB_BUTTON_CARD_MISSION	Missione carte
MC_TAB_BUTTON_PARTY	Raccolta nel dungeon
MC_TAB_BUTTON_SOLO	Raccolta sul campo
MC_WARP_BUTTON	Teletrasporto
MERCENARY_MANAGE_DELAY_CURE	Guarigione lenta
MERCENARY_MANAGE_DRAIN_MAIN	Mercenario in addestramento
MERCENARY_MANAGE_DRAIN_START	Addestramento
MERCENARY_MANAGE_DRAIN_SUB	Mercenario istruttore
MERCENARY_MANAGE_EXP	Punti esperienza Mercenario
MERCENARY_MANAGE_FIRE	Licenzia
